LIST OF ESTABILISHED PMKKs,,,,,
S. No.,TC ID,TC State,District,PC,TP Name
1,TC041077,Andhra Pradesh,Anantapur,Anantapur,Quess Corp Limited (Excelus Learning Solutions Private Limited)
2,TC040374,Andhra Pradesh,Anantapur,Hindupur,Rooman Technologies Private Limited
3,TC052972,Andhra Pradesh,Chittoor,Chittoor,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
4,TC040376,Andhra Pradesh,Chittoor,Tirupati,Rooman Technologies Private Limited
5,TC059033,Andhra Pradesh,East Godavari,Amalapuram,Datapro Computers Private Limited
6,TC059026,Andhra Pradesh,East Godavari,Rajahmundry,Datapro Computers Private Limited
7,TC041441,Andhra Pradesh,East Godavari,Kakinada,ICA Edu Skills Private Limited
8,TC037375,Andhra Pradesh,Guntur,Guntur,Synchroserve Global Solutions Private Limited
9,TC052979,Andhra Pradesh,Guntur,Narasaraopet,Synchroserve Global Solutions Private Limited
10,TC037951,Andhra Pradesh,Kadapa,Kadapa,Synchroserve Global Solutions Private Limited
11,TC052965,Andhra Pradesh,Krishna,Machilipatnam,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
12,TC041989,Andhra Pradesh,Krishna,Vijaywada,Synchroserve Global Solutions Private Limited
13,TC040098,Andhra Pradesh,Kurnool,Kurnool,Rooman Technologies Private Limited
14,TC106081,Andhra Pradesh,Kurnool,Nandyal,Shri Proskills
15,TC040610,Andhra Pradesh,Nellore,Nellore,Rooman Technologies Private Limited
16,TC048245,Andhra Pradesh,Prakasam,Bapatla,Synchroserve Global Solutions Private Limited
17,TC029001,Andhra Pradesh,Prakasam,Ongole,Synchroserve Global Solutions Private Limited
18,TC100246,Andhra Pradesh,Srikakulam,Araku,Datapro Computers Private Limited
19,TC041099,Andhra Pradesh,Srikakulam,Srikakulam,ICA Edu Skills Private Limited
20,TC040780,Andhra Pradesh,Visakhapatanam,Visakhapatnam,ICA Edu Skills Private Limited
21,TC109896,Andhra Pradesh,Visakhapatanam,Anakapalle,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
22,TC041094,Andhra Pradesh,Vizianagaram,Vizianagaram,ICA Edu Skills Private Limited
23,TC041096,Andhra Pradesh,West Godavari,Eluru,ICA Edu Skills Private Limited
24,TC100110,Andhra Pradesh,West Godavari,Narsapuram,Shri Proskills
25,TC113165,Arunachal Pradesh,Changlang,Arunachal East,De Unique Educational Society
26,TC143696,Arunachal Pradesh,East Kameng,Arunachal West,Council of Education And Skill Development Trust
27,TC110505,Arunachal Pradesh,East Siang,Arunachal East,JITM Skills Private Limited
28,TC105095,Arunachal Pradesh,Lohit,Arunachal East,De Unique Educational Society
29,TC104454,Arunachal Pradesh,Lower Siang,Arunachal East,JITM Skills Private Limited
30,TC127009,Arunachal Pradesh,Lower Subansiri,Arunachal West,Council of Education And Skill Development Trust
31,TC105110,Arunachal Pradesh,Namsai,Arunachal East,De Unique Educational Society
32,TC104034,Arunachal Pradesh,Papum Pare,Arunachal West,Smart Brains Engineers & Technologist Private Limited
33,TC110508,Arunachal Pradesh,Tirap,Arunachal East,JITM Skills Private Limited
34,TC115170,Arunachal Pradesh,West Siang,Arunachal West,De Unique Educational Society
35,TC027871,Assam,Baksa,Kokrajhar,Orion Edutech Private Limited
36,TC059089,Assam,Barpeta,Barpeta,JITM Skills Private Limited
37,TC022284,Assam,Biswanath,Tezpur,Care Educational & Welfare Society
38,TC113900,Assam,Bongaigaon,Barpeta,Britti Prosikshan Private Limited
39,TC100151,Assam,Cachar,Silchar,Medhavi Foundation
40,TC028097,Assam,Chirang,Kokrajhar,Orion Edutech Private Limited
41,TC031858,Assam,Darrang,Mangaldoi,Orion Edutech Private Limited
42,TC114444,Assam,Dhubri,Dhubri,Bhartiya Samruddhi Investments & Consulting  Services Limited
43,TC101916,Assam,Dima Hasao,Autonomous District,Mahatma Gandhi University
44,TC114423,Assam,Goalpara,Dhubri,Bhartiya Samruddhi Investments & Consulting  Services Limited
45,TC040415,Assam,Golaghat,Kaliabor,Care Educational & Welfare Society
46,TC113376,Assam,Hailakandi,Karimganj,Medhavi Foundation
47,TC061988,Assam,Hojai,Nagaon,Mahatma Gandhi University
48,TC040547,Assam,Jorhat,Jorhat,Care Educational & Welfare Society
49,TC040341,Assam,Kamrup,Guwahati,Orion Edutech Private Limited
50,TC037346,Assam,Kamrup Metro,Guwahati,Orion Edutech Private Limited
51,TC022325,Assam,Karbi Anglong,Autonomous District,Care Educational & Welfare Society
52,TC101080,Assam,Karimganj,Karimganj,Mahatma Gandhi University
53,TC121841,Assam,Kokrajhar,Kokrajhar,Britti Prosikshan Private Limited
54,TC123918,Assam,Lakhimpur,Lakhimpur,Bhartiya Samruddhi Investments & Consulting  Services Limited
55,TC125890,Assam,Majuli,Lakhimpur,Care Educational & Welfare Society
56,TC027747,Assam,Marigaon,Nagaon,Orion Edutech Private Limited
57,TC113561,Assam,Nagaon,Kaliabor,Mahatma Gandhi University
58,TC100801,Assam,Nalbari,Mangaldoi,JITM Skills Private Limited
59,TC022261,Assam,Sonitpur,Tezpur,Care Educational & Welfare Society
60,TC123907,Assam,South Salmara Mancachar,Dhubri,Bhartiya Samruddhi Investments & Consulting  Services Limited
61,TC040529,Assam,Udalguri,Mangaldoi,Care Educational & Welfare Society
62,TC040403,Assam,West Karbi Anglong,Autonomous District,Care Educational & Welfare Society
63,TC049346,Bihar,Araria,Araria,Ashpra Skills Private Limited
64,TC112225,Bihar,Arwal,Jehanabad,ADS Skill Private Limited
65,TC040422,Bihar,Aurangabad,Aurangabad,Rooman Technologies Private Limited
66,TC059082,Bihar,Banka,Banka,JITM Skills Private Limited
67,TC040551,Bihar,Begusarai,Begusarai,Vision India Services Private Limited
68,TC100674,Bihar,Bhagalpur,Bhagalpur,AISECT Limited (AISECT SKILLS MISSION)
69,TC031781,Bihar,Bhojpur,Arrah,Orion Edutech Private Limited
70,TC040334,Bihar,Buxar,Buxar,Orion Edutech Private Limited
71,TC040555,Bihar,Darbhanga,Darbhanga,Vision India Services Private Limited
72,TC027593,Bihar,Purbi Champaran,East Champaran,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
73,TC039496,Bihar,Gaya,Gaya,Rooman Technologies Private Limited
74,TC057354,Bihar,Gopalganj,Gopalganj,ADS Skill Private Limited
75,TC059130,Bihar,Jamui,Jamui,Medhavi Foundation
76,TC032062,Bihar,Jehanabad,Jehanabad,Orion Edutech Private Limited
77,TC039951,Bihar,Kaimur (Bhabua),Sasaram,Orion Edutech Private Limited
78,TC040414,Bihar,Katihar,Katihar,Ashpra Skills Private Limited
79,TC058662,Bihar,Khagaria,Khagaria,JITM Skills Private Limited
80,TC040417,Bihar,Kishanganj,Kishanganj,Ashpra Skills Private Limited
81,TC045828,Bihar,Lakhisarai,Munger,Vision India Services Private Limited
82,TC062415,Bihar,Madhepura,Madhepura,JITM Skills Private Limited
83,TC041018,Bihar,Madhubani,Madhubani,Ashpra Skills Private Limited
84,TC057650,Bihar,Madhubani,Jhanjharpur,Datapro Computers Private Limited
85,TC102778,Bihar,Munger,Munger,Bhartiya Samruddhi Investments & Consulting  Services Limited
86,TC019816,Bihar,Muzaffarpur,Muzaffarpur,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
87,TC046465,Bihar,Muzaffarpur,Vaishali,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
88,TC040377,Bihar,Nalanda,Nalanda,Rooman Technologies Private Limited
89,TC040423,Bihar,Nawada,Nawada,Rooman Technologies Private Limited
90,TC041428,Bihar,Patna,Patna Sahib,ICA Edu Skills Private Limited
